Topic,University Service,Main Issues,Resolution,More Information,Attachments / Images,Related KBs,Keywords,Escalation
Access to the Plagiarism exam,Plagiarism Application (Stern),"This error occurs when students are not yet enrolled but have to fill out the Plagiarism exam
","Ask the client to see what program they are enrolled in, either Full-time or Part-time is most important. We can then add them to the correct HERMES list after","asw_ft_plagiarism
asw_pt_plagiarism
This error occurs when the student should be enrolled in courses before being able to access the App",Please come back Later (PLag.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/9XcVtKrqwUO1q3_pZqahsg/Yj-IpwZnJMwS19uOg24m32mvGEa7zRAjeGjVxwbHl9MhtringXg01YJzfkWla0FjjcpOGRNvvmgclVyEbde1--WEs20Mnp3th6x8Z3jXPe_8EJlVN8PzAGXFAZ97Y88DzmmIk_1RTsu2g2294saUIQc2EJ3vbcxkLxxeCFLQVTXlaB5xnP2r06U39Uw9q0zn/vpFqpslebrLaPhNfp9224HtwFoBqRvA-DDJvk9oFNuY),,"Error,Access,MBA,New Student",AppDev
Access to Zoom Cloud recordings,Service Desk (Stern),"Faculty or Staff that record their meetings can access those recordings through the Zoom portal, nyu.zoom.us.",They must be using their NYU account and not their Stern Gmail,,You cannot view this Zoom recording.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/4fPb_pz-iETLQuF-3e-WNg/v05gc_MIJBYZM8ZmbFIQsLZiiXJcKYhGNdzvnz6fYxvom9Bs8etpVA6JcxTGA-OsoLWIfoUPGBtxFNMgwAtvO50PhIxFYiEU1kKLY41hVLZnQpL-6KajZKod90xDfbX4WLoBHov-aT8QTwOITFVtLDcWjp9i8sReKVK0fgt5vQjO01k6tR5eRSauxhR6Hlvp/Scg0gaIY9ldCDuYSuUyT7PD23VMAPPngWtWj-GR6ZFE),,"Access,How-To,Zoom",
Account Creation / New Account,Stern ID,"Common request for student workers, visiting scholars, or contractors. Please note that we do not provide NetIDs.
If they do not have a NetID or University ID, the sponsor will need to fill out the NYU Affiliate form: Affiliate and Account Management (Sailpoint): Requesting a new NetID or new sponsored affiliation
https://www.nyu.edu/servicelink/KB0010935","Please get the following information before routing over to AppDev: 
Name; 
NetID; 
University ID; 
Date of Birth; 
Start Date; 
End Date; 
Sponsoring Professor/Supervisor; 
Department;","Once the account is created, please have them head over to 'start.stern.nyu.edu'.",,"Stern ID: FAQ,Stern ID: Requesting a Stern ID",Request,AppDev
Adding a Stern account onto Domain PC,Desktop Support (Stern),"Desktops are imaged specific for one users. Therefore only their Stern credentials would work. However, there are desktops that people shared ie. Front desk or student workers.","Figure out the location:
Go to Control Panel > Administrative Tools > Computer Management
Go to Local Users and Groups
Go to Groups
Go to the Administrative Group 
Select the option to Add a User
Enter the User's NetID
(To add anyone with a Stern ID add ""Domain Users"")","You will need to log in as Administrator unless your account has Admin roles. IT-CSG members should have Admin roles so you can use your own credentials.
Right click 'This PC' -> Manage -> Groups -> Admins -> add new user",,Desktop Support (Stern): Create a Local User Account in Windows,"Request,Desktop,AD,Access",Deskside
Adding Services on EMS,Event Management System (EMS) (Stern),"This includes mic and mic stand requests and recordings.
",Client should be able to update services themselves on EMS Web App.,,,"EMS Web App (Stern): Adding services to an approved booking,EMS Web App (Stern): Managing AV Services for Classes,EMS Web App (Stern): Managing AV Services for Events","Request,EMS,Microphones,Mic,Recordings,Mediasite",eServices
Additional Zoom functions (recording/large meeting),Service Desk (Stern),"Faculty & Staff get the Zoom recording functions by default. For students and everyone else, they will need to reach out to NYU IT through the request form

Webinar hosting must be requested through the form.
","NYU Zoom Feature Request Form:
https://nyu.service-now.com/sp?id=sc_cat_item&sys_id=ff21af5213e1f7009136b6d96144b0b6",,,,"Access,How-To,Zoom,Request",
Almaris Support,Service Desk (Stern),"This is a software/tool that Prof. Dan Gode (dg46) uses for his classes. We do not support Almaris.
","When a students reaches out, create a ticket collecting the following information:
Course they are taking;
If the course has a TA (please have them reach out to the TA for assistance); 
If there is no TA, direct them to the admin aides.","For Almaris assistance please reach out to the TA for your course.  If a TA is unavailable then your next best option would be to reach out to one of the Office administrators for the accounting department concerning access to Almaris and if a TA has been assigned for your course:  

Accounting Department
Bebi Karimbaksh
(212) 998-0006
bkarimb@stern.nyu.edu

Please keep in mind that NYU Stern IT does not have direct administrative access to the actual Almaris site so if this is an account issue with Almaris specifically we are unable to assist with resolving that issue.  ",,,Error,
Alumni Audit Program,Stern Webspace,,Make sure the Alumni in question has to be an alumni otherwise they won't be able to access the site. Otherwise route over to AppDev,https://w3.stern.nyu.edu/alumniauditprogram,Alumni Audit form.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/i-H6SmQRk1x5wYCrZ7u7Gg/HhXntRaxQGZJyIn3aj2S9dRtih-3zxM7ofagtFVufs2pa55eMwHFnQ4HZTOX7V0tcBGjHfXVNXRKxHo33M9LA24wOzksRsL7YK626NmXD3h6i9h2SA0Ecg1NruLSZNaGnlTrvM8IrFSAVx6oN5mvMeqxPrsXZISAc0_9PEb9WQU/Ou6eOL3qkbC5HBuCAs5SNJSHcQwN_Cw16274FXxzAuM),,"Error,Alumni",AppDev
Auto-Posting Mediasite requests,Event Management System (EMS) (Stern),"By default, all the courses in Stern are recordings. Professors or staff would need to OPT-OUT through EMS to not have recordings. They can also request to have them posted on their Brightspace course site.",Classes are in a Opt-OUT option on Automatic posting. Provide them the support article to do so:,https://www.nyu.edu/servicelink/KB0019394 ,,EMS Web App (Stern): Automatic Posting of Mediasite Content to Brightspace,"Request,Mediasite,Recordings",eServices
Bloomberg Access,Service Desk (Stern),"Bloomberg is a finance software that is now available at specific terminals. Depending on the user, please provide them the information to use the physical terminals.",Students should no longer be able to have remote access. Direct them to https://it.stern.nyu.edu/for-students/bloomberg-access ,"Access for professors should reach out to SCRC, Stern Center of Research and Computing.",,,"Access,Bloomberg,Terminals",
Broken department printers (MFP),Printing in Departments (Stern),"The MFP are with the Pharos printing system, While we do 'manage' them, we can assist with primary support.","Department/Aides should be able to reach out to TGIOA Support as they can assist with the printers and what is wrong with them.
We can head up to take a look first, however, if it is still not fixed once we had gone up, contact TGIOA","There should be a contact number on the printer.
Otherwise: https://www.tgioa.com/contact-us/ ",,,"Error,Department Printing,Pharos",Deskside
Can't access EMS / WebApp,Event Management System (EMS) (Stern),"Clients get this error when trying to access EMS WebApp.
",Make sure they are using their Stern credentials. Check in private/incognito as well before routing over to eServices,"If they are a staff member, double check with their supervisor and department. MBA students should have access to EMS WebApp. Undergraduate students have access to EMS WebApp for study rooms. Clubs will need to go through OSE. ",,EMS Web App (Stern): Reserving a space at Stern,"Error,Access,EMS,WebApp",eServices
Can't access Stern account,Stern ID,"Either it is for first time users or returning users, there could be several reasons as to why they can't access their Stern account.","Check to make sure their Stern password is not expired on HATS.
If it is not expired, please make sure they are using their NetID as their username and Stern password.

Additionally, there may be times where the client has 'reset' their password but it didn't sync in our systems.
Please see when the last them they recall when they reset their password. 
If this does not match the expiration date on HATS, please have then reset their password once again.
",,Sign on.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/H74G4oRk04lfFGDCiwMMMQ/4lHmoiPFHDxLUnWV4ERacLMRxGJy4eCP8A3eQY9Fyq3AFcbaDNANHHYAUKEFDTr_1UZlkSCZuxswQctB3s7USShGPhcCMbmVVkX56duJpGhFw76MwSevlYTnWEyYu0S5Jcy8cJfgyI7CAe04tu8GXL_BiuyvhsZ0hqAaW5VAlqI/lAvM9WTEp3y0ZklYtUVlbf6Qm9U-kl-tkdyF5z8VuQ4),,"Error,Access",AppDev
Can't activate their account,Stern ID,"When the client heads over to 'start.stern.nyu.edu' and they come across an error of information upon activating their Stern account. Depending on their role this may change.
","Look up their NetID on HATS.
If they are a newly accepted student, their Stern account may not have been created. Please inform the client to wait 1-3 days for creation.

If they are students trying to register for a Stern course, they do not get one until they successfully enroll. 

If they are an alumni, please confirm their DOB on their HATS. Most commonly, Alumni may have their DOB to be 0000-00-00. Please verify the identity with the Alumni so you can get their DOB to be updated. Alternatively, the Alumni Office can confirm this.",,Can't Activate.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/Cd838f-wpPRy1Il06FDExQ/Y-K9mmnmTX84YxT19-8R-3tOgjCGsCYmo17QqY_elgFBotLos5YOmut-eOQ1G09UN-gdWO44IHq-o1RiHHFci029izksKnXJFd0LI6r_3UwZmqbvADwyeZGOq1xSrGXd2J6QhRjg1J6GfuVCo3W8dXfDHebiittLp8XUYRK03b0/SfXe-oqWu_Cl8LLGpYzzx6b5w1y1VzexNzVlLP7tF24),"Stern ID: Activating a Stern account,Stern ID: SIMON","Error,Alumni,New Student",AppDev
Can't Print Double Sided / Color,Desktop Support (Stern),This happens when the printer drivers of the smaller department printers are the specific ones. You should be able to search up the model of the printer to get the specific drivers or universal drivers. ,Most likely the driver that was installed is the wrong one which is why double sided/duplex is not working.,Search up the correct driver model to install the correct one.,,,"Error,Printing,Department Printing",Deskside
Can't Sign into Chromebook,Service Desk (Stern),This occured when users were trying to access theri Stern Gmail while already signed into a different email on Chromebooks. This is very rare now as we inform clients to not purchased Chromebooks.,"1) Workaround, is to create a separate profile or Guest and log in with your Stern Gmail.
2) Wipe the entire Chromebook back to factory and log in with their Stern Gmail first.
3) Disable MFA on HATS and then enable after they are able to log in.",,,,Error,
Capital IQ Excel Plug-in,Capital IQ Website Support,"There will be users that want to use the Excel Plug in with Capital IQ.
Unfortunately, we do not manage the Excel Plug-in.","Users should be able to use the following article from the Library:
https://library.answers.nyu.edu/faq/392635
",Please note that the user will need to sign in via the VBL link before accessing the Plug-in.,,,,
Career Resource Hub,Stern Webspace,"If they are not listed as an Alumni, route ticket over to AppDev, if they have already graduated. https://w3.stern.nyu.edu/careerresourcehub/ Some exceptions may exist for Lagone MBA students",Make sure get the client to use private window to check access. Then check HATS to make sure they are listed as Alumni.,,Career Resource Hub.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/CMAh4joPgVjNoGTdTqQt4g/bannzXV8brkxTIPGCi0W3hn_ldFOrNbSsRtzHDhQOQ8qEZ8tctONXBo9sh3QFlX0n70XPXwkPr-GOgeitOPjY4DuqcfqPjUtP5jUx9XRVCzuhClpbmyTL_cMD6UfcXGANShSGozNdV6ZuqV2dEDYO-Vr2woWrtjUEvLycol2NWw/eu6mLHzvXbMg4hWwQlFq4rnvDit286UqkZryeIibgLI),,"Error,Alumni",AppDev
Change Name on their Stern account / Stern Gmail,Account Management,Client would like to update their displayed Stern name on their Stern account or Stern Gmail,"To change their Stern name or Gmail name to a preferred name, please make sure their name is updated on Servicelink's side. ","If it is not, please have them update their Preferred name through NYU Home:
https://www.nyu.edu/students/student-information-and-resources/registration-records-and-graduation/forms-policies-procedures/change-of-student-information.html#preferred",,Stern ID: Changing the name on your Stern account,"Request,Preferred Name,Display Name,Update Name",AppDev
Course / Core Proficiency Exam,Stern Webspace,,"Incoming students will need to take or sign up for the proficiency exam
required by the CWPE application (mba1 mba2 ftnewadmits mbalang1 mbalang2 mbalang3 mbalang4 mbalang5 ptnewadmits allnewadmits), please don't add client to group, just route to AppDev",https://w3.stern.nyu.edu/academic/affairs/cwpe,,,"Error,New Student",AppDev
Course Evaluation Error,Service Desk (Stern),,They receive this error when they miss the deadline. They should reach out to gradcfe@stern.nyu.edu,,,,"Error,Albert",
Credit Overload Form,Stern Webspace,,"The Credit Overload application is meant for full-time students only. If the client has additional questions, the student can reach out to Academic Affairs and Advising.",,,,Error,AppDev
Cross Account Error,Apps@Stern/Citrix,"Common error for Non-Stern students when accessing Apps@Stern
","Create a ticket if they are getting this error.
Please route to EOPS-ISS to be added to grouper list.
","Please also make sure that their Stern account is activated. 
This occurs when the Stern account is not automatically added to the access list for Apps@Stern. ",Cross account error.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/8z5mM7ZIEPgGHiAp0dMxfw/F0InMFHI4sACBfGjKvbvTJnlGlKJNHi6x3lxxYMFRbHv0CodP9zO2udRU5sUKeC-yYoALIFl9PjQQ9wTRnqxNRUTwVTK-0uadl5GBHvhs41tbahS02OErkhn091nWNrJrJ4arGmeM8hQN-fSzz0Wwa8eBA0YSYyBfqpy_0st2ac/CaTOnuBvDcsySeYmX8CM34zEy6ePXX3XFy0xs8j2LCA),"Apps@Stern/AppStream: Opening and saving files,Apps@Stern/AppStream: Starting and Ending a Session","Apps@Stern,Minitab,Error,Non-Stern",ISS
Cvent Access,Service Desk (Stern),,"A form on NYUHome goes to the UDAR Communications team, which manages Cvent for Alumni Relations:
https://app.smartsheet.com/b/form/0f32602135664aa98f15eaec8988e454

There is also a general contact for UDAR:
alumni.info@nyu.edu or call 212-998-6912",NYU Alumni Relations manages Cvent,,,Request,
Delegate Access (Act As),Event Management System (EMS) (Stern),"Department admins will reach out for EMS access of faculty members so they can book rooms and add services for faculty.
",Collect the client's NetID and the NetIDs of the accounts they are requesting for delegate access. Route to eServices,,,EMS Web App (Stern): Reserving a space at Stern,"Request,EMS,Delegate,Access",eServices
Delivery Status Notification (Failure),Gmail@Stern,"This occurs when the recipient's email is incorrect or the email is no longer available.
",This bounceback will keep occuring for a while and will naturally stop. Please check in with the client of who they are trying to reach out to.,The duration of the bounceback is stated on the bounceback email.,Delivery Incomplete Gmail.JPG (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/8jTStha46Vnx_qVnnpxbaw/PU-PLO8trVlOljCgdsb6GOZziQQnFijqA8GI2T8BQQKtpM5O6HIYukGZI9ghuambh9GOXSfERvm7ekqhMhzxSdwzoMGCooMWfUGpTX_vb1bCXq814DlMzN_WnB5P8BGxVVdYafonIY9WFUFPTUku1RhBLnGJX3hduz62EbxcahY3zET9NvqY8aX1MaxWd-5-/aEbc6JFAgo4fShOimnTtE-m5XUOBMsj6JFTDPPiYhas),,"Error,Gmail,Bounceback",eServices
Department printing,Printing in Departments (Stern),,Faculty and Staff should be able to print using department printers. Each printer should have the IP Address on the printer.,"Windows: https://www.nyu.edu/servicelink/041231315463158 
MAC OS X: https://www.nyu.edu/servicelink/041233514303370 ",,"Printing in Departments (Stern): Install a Network Printer in MAC OS X 10.x,Printing in Departments (Stern): Install a network printer via IP address/Hostname in Windows","How-To,Department Printing",Deskside
Departmental website editing access,Stern Webspace,"To update their department's website, they will need to be added to the correct HERMES list, ""wcm_*"" groups are only applicable to www, while ""portal_*"" groups are only applicable to SternLife.","Get the departmental sites they are trying to edit to double check the correct access. 
Once determined the department, you can add them on HERMES for account 'wcm_contribute_(department)'. 
To edit, must be added as a member and not an owner",,,,Request,AppDev
Docking Stations / Desktop setup,Desktop Support (Stern),"A client may put in a ticket to have a workstation to be set up for the first time or after a move. Most of the things will be provided. Anyone should be able to stop by and assist

Most of the departments have spare wires for display connections. Please check in with them first before using ours.","If the docking stations are hooked up to Ethernet, they need to be put into DNS Manager
.
Otherwise, please set a ticket/time to meet and set it up.",Most of the time it will be to replace a desktop. The desktop is up to the department's discretion on what they want to do with it.,,,"Request,Setup,Docks,Docking Stations,Connecting",Deskside
Don't have credits / Can't print,Print@Stern / Papercut,,"Search up the client's NetID on Papercut first to see if there is an account for them. 
Otherwise if there is no account, please look at HATS to see if they are part of ""nonsternugrad""/""nonsterngrad"" list
If so, add them to 'papercut-nonstern-ugrad' / 'papercut-nonstern-grad' on HERMES.
Wait 24 hours for account to be created.","This issues tends to happen with Non-Stern student but they are taking a Stern course. The papercut account is not created by default.

https://sites.google.com/stern.nyu.edu/it-internal/stern-it/enterprise-operations-solutions/references/service-documentation/student-printing-papercut",,,"Error,PaperCut,Print@Stern",eServices
Download / Export data from Stern Gmail,Gmail@Stern,"With Google's new storage policy, the storage cap is now at 20GB. Alumni and active users have been notified to lower their storage. To export their data from Drive, Gmail, Photos, etc. Google has a tool called Google Takeout.","NYU Drive (Google): Using Google Takeout to Download Data
https://www.nyu.edu/servicelink/KB0020302
",Provide this information to clients that want to download data to comply with NYU and Stern's Google Data Limits,,,"How-To,Export,Storage,Gmail,Google Drive",eServices
Drupal Edit Access,Stern Webspace,Drupal is the website editing tool that admins use.,If the site is 'stern.nyu.edu/.../' then please refer them to Public Affairs,"If you are not sure, routing over to AppDev is fine.
They usually can confirm if they can assist or if PA is of better assistance",,,"Request,Website Access,Website",AppDev
EMS Desktop Client,Event Management System (EMS) (Stern),"When a client would like the Desktop client of EMS. Mainly, IT and Special Events would be the main users",https://ems-web16-p1.stern.nyu.edu/EMSDesktopWebDeploy/,That website contains the guide on how to set up EMS.,,,"Request,EMS,Install",eServices
Enrolling in a Stern Course,Service Desk (Stern),"We do not deal with enrollment or registration of Stern courses. If a student is having issues, please direct them to their advisor for better assistance.
","You can search up their NetID on HATS, a screenshot of the confirmed enrolled course, if completed right, the account will be up 1-2 days","Most of the time, it will be non-stern students are trying to enroll in Stern courses. They only get Stern accounts when they have successfully enrolled and added to their cart for that course.
They DO NOT get Stern accounts if they are only approved for the course; this mean they did not enroll yet but have the chance to.
Please direct to their Advisor/Advising to double check",,,"Error,Non-Stern,Albert",
Enrollment Deposit page,Stern Webspace,Most of the time they are alumni that need to have their role changed in order to access the page https://ais.stern.nyu.edu/payment/deposit,Route over to AppDev,"Sometimes they have the correct access but their bank has blocked the transaction or incorrect roles on NYU's side.
AppDev would be able to determine what would be the error.
","Enrollment Deposit.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/x8GG6L2EP2m_tsAvtxyHHQ/6ES9KrhAHOG_sN2uV-fosv6jtDSZxp1JGxkvwRt0eGzH22ohEMU4uldJfoYfTrkTR0Z2XY9f0A3PyYCN4c4rsP0yyc5wuohD_LMtX8JjsN1jo0BIZHh1zOYufCfrmowy1eezXBkEwklaDPqwUghQe0vprfs_iPSABjDh208sil0/BeC0YabPpeBe-TvI0xnNRoz3fFPgXBkMRVMSomgne8o),Tuition Deposit error.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/76uVTai-mMXnkx9lawkmTg/3Awc85xJdVmqBa_H5r10OG6d4Tds7mHkrg7HN82I5rhW5bK-EflHsv0tEBVT1yunH7jgLir7B_uyzqTVmo8cvOUtawm0aCajGlH8BpDfKSCXEoCJ4VZiyyp_wvGj-BeicBUEBJTAHE0O8Lz2x7YGuzNoxNFRVtVRzLulHbKul74/wGa9Oj5lA7LD8TMflByKYrWTiw8tU2KcmENUHeP2luE)",,"Error,New Student,MBA",AppDev
Error: Request Entity Too Large: head,Print@Stern / Papercut,,Clear cache and cookies or use an incognito window,,Bad Message.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/tmAjcaOkbddPsA1Vw5azDQ/qz1LVEjIySKQIEPxpiVJfqCaOsry6qAWSQwvj6tRQZC_8wXXyrYPHhDVtuwQol2n63xN4MJIg1WoibfM5foDIzf_YMa3NBe1945rYoTSGwQLVWi87Itz6rWBG0HYg8uRt94QtUrV2pPqjp0wYlowAIsUlddDhID-ZIrUeCp4vro/CkeLGezUOCJlPbezULXI7PLxf98b4SP_eRGAAkCNw3g),,"Error,PaperCut,Print@Stern",eServices
Ethernet Connection / DNS Manager,Desktop Support (Stern),"A client has reached out and would like to have ethernet connection. This is primarily for desktops or for their phone lines. From the phone, users can also wire their connection their desktop.

Currently, requests for docking stations are special cases.","Please make sure that the ethernet jack is working properly. 
A good way to test is whether or not the phone turns on with the cable. 
Make sure that the device is in the DNS Manager (if not, grab MAC Address to be added.) 

","If the device is in DNS Manager but the Jack is not working, please grab the Room number and the Jack number. 
Then put in a ticket with NYU IT-Telecomm to ensure that the jack is on.
 ",,,"Request,Ethernet,DNS Manager,Network,Jacks",Deskside
Faculty Activity Report / Interfolio,Service Desk (Stern),This is managed by Faculty Affairs,Please inform the user to contact faculty.affairs@stern.nyu.edu,,,,Access,
Faculty Bio access,Stern Webspace,,"PA will be the ones to provide access to the Faculty Bios.
See which department they are in to look up, 'facdir_(department)'.",,,,"Access,Website,Website Access",AppDev
Forwarding NYU emails to Stern Inbox,Gmail@Stern,"While the article is meant for NYU emails to Stern Inbox, the vice versa can be done (Stern emails to NYU inbox).
",https://www.nyu.edu/servicelink/041230011371208,"If people want to do Stern to personal or NYU inbox, have them enable and create an App Password.",,Gmail@Stern: Forward NYU Email to a Gmail@Stern account,"How-To,Gmail",eServices
Google Analytics access,Stern Webspace,,"For SternLife Analytics -> AppDev 
For Stern Sites -> PA",Best to double check with Public Affairs before providing information,,,Request,AppDev
Google Group Request,Google Groups@Stern,,"Need the following information:
*Group Name:*
*Group email address:* __________________@stern.nyu.edu
*A brief description of the Group (for our records, e.g. A Group to facilitate communication between members of the eBoard):*
*A description of how you intend to use the Group (so we can configure it):*
*The Stern email addresses of anyone who should be made Group owners (there must be at least one):*
*The Stern email addresses of anyone who should be made Group managers, if any (a user cannot be both an owner and a manager):*
*Members to add to the group if the list has already been created and it is more than 10 members. (Or if members need to be added without receiving an email notification they have been added to the group.):*
*Specific permissions that you want each role to have such as ""owners can only send emails or post and managers can add people to the group"":*
*Do you intend to add non stern emails to the group?*","https://www.nyu.edu/servicelink/KB0011300
HD is able to create the group
If they are trying to add the group as an alias, set the option to allow external posts",,Google Groups@Stern: Requesting a new group or mailing list,"Request,Google Groups",eServices
Google Workspace - 'This account cannot be accessed because...',Gmail@Stern,"Whenever the client is trying to use incorrect credentials to access their Stern account. More often, it happens when they use 'NetID@stern.nyu.edu' or their vanity email to log in.
",Please make sure they are using the NetID and the Stern password.,"Sometimes this is the error whenever people are trying to access their club account while logged into their Stern account, make sure to try in a private/incognito window.",Google This account cannot be accessed Error.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/2S6cj2Beg4ymz5WjQzEyFA/LwBSnlwz-McgCkUr0uX2TW-4n6TAHynCy84hR7Up2-lWzEXErMe1kVrtOFJPcBXB3v8Ayt1ESrxcsgJyNfHX5BDcKxQuXTaXmdGPsoTNVWyutU21T9pGLXg-c9X7yO_IEhZC6FkYezNH1V-PB2pKBPXEN6GZcerIgT7khZDmEpr07_NN2uzl_ZrgxcpOnBOnHaXbbHhxqee201_mo-eSYg/BrM0-0d5Z_QO19lNIOrBsqFsVhKqXiyZv-W_fqj-0SE),,"Error,Gmail",eServices
